What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a month,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat difficult,", doesn’t understand my specific question",,1,5,4,2,3,Somewhat comfortable,,After trying the automated system once,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I think we should be able to reset the password without problem or concern,"Again, this could easily work out with a voice assistant – – not a problem",Ok
25-34,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat difficult,The first time you have a chance at the game you will have a good ,,4,5,1,3,2,Somewhat uncomfortable,The only way I could see the difference was to ,After trying the automated system once,Not Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Not Comfortable,Neutral,Not Comfortable,Comfortable,Neutral,I’m going out for dinner tonight with the girls so if you’re interested you could bring the ,I’m your mom I am a big sister to my mom I don’t have no family and I’m a little ,I don’t think so but I’m sure it so I’m sure it and I’m a 
45-54,Female,"$10,000,000.00",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,How ,1,3,4,5,2,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Have you ever heard from ,Great to see you ,Have a great day at work 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Prefer a voice assistant but may speak to a live agent,Delightful,Yes,Somewhat easy,,communication ,3,2,4,5,1,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,great idea,very useful ,good
25-34,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Online Chat,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,It is good ,4,1,2,5,3,Extremely comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,I need help,Help me,I need assistance 
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,takes forever to resolve an issue,,3,5,4,2,1,Extremely uncomfortable,do not feel my information is secure,Immediately,Not Comfortable,Neutral,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,horribly,uncomfortable,not well
45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Kind of,Somewhat easy,,"The response time was fast, i find it somewhat reliable",3,2,1,5,4,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,"I would expect a clear interaction, using the system FAQ ","I would expect a smooth interaction, using the system FAQ",I would use the introduction guide provided on the page
35-44,Male,"$10,000,000.00",Extremely comfortable,Phone,,A few times a month,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Because of the quality ,1,4,5,2,3,Extremely comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Great and amazing ,So amazing ,Nice and amazing 
35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,To be honest with you about the other one and the rest I will have a look ,4,2,5,1,3,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Yr old email account to the old address so please can ,Be very grateful for the opportunity of your interview as well I ,XOXO and a couple weeks back to the other side to be a bit more than a 
35-44,Male,"$10,000,000.00",Somewhat comfortable,Email,,A few times a month,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Kind of,Somewhat easy,,It was good i loved it ,2,5,4,3,1,Somewhat comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Good night love I hope you’re feeling ,It was good seeing your family ,It was the second straight year the 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Good,Kind of,Extremely easy,,Very easy because I don’t have to stress my self and wait on the queue ,2,1,3,4,5,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I need to change my password ,Positive ,Thank you 
45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Social media messaging,,A few times a year,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,Because there are very much reliable and trustworthy and I will get back to you ,1,2,5,3,4,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Mail voice ,Mail video ,234565
35-44,Male,"$10,000,000.00",Somewhat comfortable,Social media messaging,,A few times a month,To resolve an issue with a product or service,,Always prefer an voice assistant,Good,Yes,Extremely easy,,Best rate for you to play with ,3,4,2,1,5,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Bed is fine too ,Don don’t know what if I ,Bes I don Dey I can’t 
35-44,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer an voice assistant,Delightful,No,Extremely difficult,They have different interesting purpose of the best quality ,,2,3,5,1,4,Somewhat uncomfortable,They should have different interesting ideas for the update ,After multiple attempts with the automated system,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Extremely well ,Extremely perfect ,Excellently perfect 
65,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,No,Somewhat difficult,limited choices and fixed responses pre-programmed,,2,3,4,5,1,Extremely uncomfortable,easily hackable and stolen,Immediately,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,opt out,okay,hang up
35-44,Male,"$10,000,000.00",Extremely comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,The experience was good and the only way to go get the food and drink it too ,2,1,5,4,3,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,A voice message is not a big deal but it will not send it again but it is only ,I interacted and it wasn’t even a big deal but it wasn’t okay with ,I wan sleep for my sleep lol and sleep sleep for 
35-44,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a voice assistant but may speak to a live agent,Average,Kind of,Somewhat difficult,The part that make it difficult is getting to them ,,5,2,4,3,1,Neutral,,Immediately,Neutral,Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,Not Comfortable,Neutral,Well it is hard at times but I get over it sometimes ,Well good ,Neutral to me 
65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,Kind of,Somewhat difficult,Not understanding the issue.,,2,3,1,4,5,Somewhat uncomfortable,They don’t understand the issue.,After trying the automated system once,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,It would be ok.,This would be ok,I think this would be ok
35-44,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Email,,A few times a month,To ask a question about a product or service,,Always prefer an voice assistant,Delightful,No,Somewhat difficult,They have different opinions on the product of the best quality ,,3,2,1,5,4,Somewhat uncomfortable,They have good idea to get more interesting purpose ,After multiple attempts with the automated system,Not Comfortable,Neutral,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Excellently perfect ,Extremely perfect ,Extremely well 
55-65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,1,2,3,4,5,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,"ask to ID you, once identified, Virtual assistant does the task","ask for balance, get balance",ask for live agent
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,The way they pick quickly ,1,3,2,4,5,Somewhat comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,I don’t think so I don’t know if you ,I am so happy to see that you’re having fun and ,I am so happy 😁 I’m glad I did 
35-44,Female,"$10,000,000.00",Neutral,Phone,,A few times a year,To place an order or make a purchase,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Neutral,,,1,4,5,3,2,Neutral,,After multiple attempts with the automated system,Neutral,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,A device you talk into,Human,Human assisant
35-44,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Yes,Somewhat easy,,They are easily available to answer my call and solve the problem,4,5,2,3,1,Extremely comfortable,,Immediately,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,"The voice assistant will ask what exactly my complain is,and I will relate my complain","The voice assistant will ask what my complain is,and when I relate my complain,It answers me immediately ",The voice assistant will immediately take me to the homepage after relating what I needed it to do
35-44,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Social media messaging,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Extremely difficult,They would get confused and send me to another serive provider i didnt want to talk to. ,,1,2,4,3,5,Neutral,,Immediately,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Ask me my email address and then confirm it thru my email. ,Sends me to a new window so i can REPEAT the process ,Ask a bot or a live agent to assist me 
35-44,Male,"$10,000,000.00",Extremely comfortable,Online Chat,,Daily,To make a complaint or give feedback about a product or service,,Always prefer an voice assistant,Good,Yes,Extremely easy,,We are in the area and we are going out for dinner and ,3,5,2,4,1,Extremely comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,We can make it in the next weekend or we will be ,We can do the meeting tomorrow and tomorrow we can make it in ,I swear it was the first day I had a lot to 
35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Average,Yes,Somewhat easy,,The first time you have a chance at the top is the second one you get a free pass and you can ,4,1,2,3,5,Extremely comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,The customer care agent said they were not sure what to expect and they were going on with their credit cards so they were not going on the website to see what was happening ,The interaction of a large group is called a circle and is called the triangle of a ,The only way I could see that is to use the word like that to refer back and say something to me and I don’t 
35-44,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer an voice assistant,Good,Yes,Somewhat easy,,Satisfied ,5,4,3,2,1,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Google ,Google assistant ,Amazon 
35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Prefer a voice assistant but may speak to a live agent,Good,Yes,Extremely easy,,It was good to see you guys are going,3,2,5,4,1,Extremely comfortable,,After multiple attempts with the automated system,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Please call me back please please call me,Please let me see,Yea we can get the house
